country,year,immigration_rate
lao_pdr,2007,-110258
lao_pdr,2012,-177488
lao_pdr,2017,-73518
lebanon,1962,20000
lebanon,1967,-70002
lebanon,1972,-10000
lebanon,1977,-270000
lebanon,1982,-214381
lebanon,1987,-228040
lebanon,1992,90000
lebanon,1997,-29428
lebanon,2002,550110
lebanon,2007,183370
lebanon,2012,1250000
lebanon,2017,-150000
liberia,1962,7996
liberia,1967,7996
liberia,1972,10996
liberia,1977,11949
liberia,1982,0
liberia,1987,-400000
liberia,1992,-300000
liberia,1997,450000
liberia,2002,-50000
liberia,2007,175585
liberia,2012,-20000
liberia,2017,-25000
libya,1962,45891
libya,1967,48002
libya,1972,58665
libya,1977,57534
libya,1982,113380
libya,1987,5490
libya,1992,3965
libya,1997,-57368
libya,2002,-20569
libya,2007,-118555
libya,2012,-433403
libya,2017,-9997
st._lucia,1962,-9372
st._lucia,1967,-7697
st._lucia,1972,-9649
st._lucia,1977,-8932
st._lucia,1982,-8141
st._lucia,1987,-4262
st._lucia,1992,-4806
st._lucia,1997,-948
st._lucia,2002,-227
st._lucia,2007,2850
st._lucia,2012,40
st._lucia,2017,40
sri_lanka,1962,-47500
sri_lanka,1967,-38500
sri_lanka,1972,-145000
sri_lanka,1977,-237500
sri_lanka,1982,-395500
sri_lanka,1987,-137440
sri_lanka,1992,-255780
sri_lanka,1997,-461684
sri_lanka,2002,-449480
sri_lanka,2007,-520065
sri_lanka,2012,-484772
sri_lanka,2017,-449999
lesotho,1962,-25000
lesotho,1967,-22400
lesotho,1972,-24048
lesotho,1977,-6538
lesotho,1982,-25760
lesotho,1987,-62682
lesotho,1992,-46345
